ML1,ML2,ML3,banco
-0.04610167812667232,-0.07371601028035224,0.11375874043838381,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ"
0.013092672340214792,-0.07443609666748537,-0.0972959888269772,INDUSTRIAL DO BRASIL - PRUDENCIAL
-0.11026768083599203,0.06335839924456382,-0.03603502912443117,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PLANALTO - SICREDI PLANALTO RS/MG"
-0.08063817367266511,0.0033179682590933827,-0.03063843546090597,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SORRISO - SICREDI CELEIRO MT/RR"
0.015704501333573217,-0.10993882894715834,-0.0354094127448808,OMNI - PRUDENCIAL
-0.0951116147844514,0.029235743400934065,-0.01906498019004616,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC/PR/RS
-0.0623382796427667,-0.0032276102663254384,-0.20958472969615258,BCO CATERPILLAR S.A. - PRUDENCIAL
-0.11820575171162342,0.06478607759267391,0.05244481636855138,COOPERATIVA DE CRÉDITO SUL-SERRANA DO ESPÍRITO SANTO
-0.08714376630087087,0.02961103707062593,-0.08625928165548263,REALIZE CFI - PRUDENCIAL
-0.1018696670457709,0.048681855145425945,0.005515847112899821,MIDWAY S.A. - SCFI - PRUDENCIAL
-0.1281839369785005,0.06347254496034781,0.2204091905473202,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DOS VALES - SICREDI REGIÃO DOS VALES RS"
-0.031180590587803075,-0.07335071265208332,-0.24288919178022686,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU"
-0.06631080949464256,-0.04766166095630283,0.0539997159572757,CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB - SICOOB CENTRAL UNICOOB
-0.04649092964815173,-0.07924630966477739,-0.02748837258797518,COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL SICOPER
-0.0755597660817364,-0.0325660478560452,0.10401710177583791,"COOPERATIVA CENTRAL DE CRÉDITO DE GOIÁS, DISTRITO FEDERAL E TOCANTINS LTDA. - SICOOB NOVA CENTRAL"
-0.1404771720500139,0.09236725962285472,0.2164628225292217,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO
-0.0725332208679443,-0.011390342809874719,-0.05956561386768901,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NORTE MATO-GROSSENSE E OESTE PARAENSE - SICREDI GRANDES RIOS MT/PA/AM"
0.0150294881778689,-0.14455879991990392,-0.2833529874128592,PEFISA S.A. - PRUDENCIAL
-0.06694060768902703,-0.023489480781999406,-0.05093970508428717,COOPERATIVA DE CRÉDITO ALIANÇA RS/SC/ES - SICREDI ALIANÇA RS/SC/ES
-0.08224172292544138,0.0033506749604874726,0.054623702068434865,COOPERATIVA DE CRÉDITO SICOOB METROPOLITANO
-0.08334488758821758,0.006185048005244674,-0.0907758033032996,COOPERATIVA DE CRÉDITO ARACOOP LTDA. - SICOOB ARACOOP
-0.04193069474484554,-0.06706828065032432,-0.12303485776055431,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CELEIRO CENTRO OESTE - SICREDI CELEIRO CENTRO OESTE"
-0.07596260361555035,-0.012089119294122042,0.0918004112910412,INTESA SANPAOLO BRASIL S.A. - PRUDENCIAL
-0.0956759746955394,0.019125676885629862,0.1367933443541865,CREDICOAMO CREDITO RURAL COOPERATIVA
-0.047781690759029126,-0.050945157085539365,-0.11999643889877146,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CONEXÃO - SICREDI CONEXÃO"
-0.0887459824335202,0.00420317758298931,0.028890527740033593,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO INTERESTADOS - SICREDI INTERESTADOS RS/ES"
-0.028162743633681268,-0.0879459026260223,-0.1866611547021314,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DA PRODUÇÃO - SICREDI REGIÃO DA PRODUÇÃO RS/SC/MG"
-0.0722589107745873,-0.014726223373716412,-0.09744281126930775,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO ALTOS DA SERRA - SICREDI ALTOS DA SERRA RS/SC"
-0.04991816822438748,-0.0764324709479301,-0.008089147058026241,COOPERATIVA CENTRAL DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL CENTRAL BRASIL
-0.04712348680244509,-0.07976370728403873,0.08202438160805581,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE"
-0.08512159504039789,-0.0014185080035640577,0.002310059137346866,COOPERATIVA DE CRÉDITO DO VALE DO ITAJAÍ E LITORAL CATARINENSE - SICREDI VALE LITORAL SC
-0.05889989551982481,-0.038015226643347326,-0.13578192180558946,"COOPERATIVA DE CREDITO, POUPANÇA E INVESTIMENTO ALIANÇA - SICREDI ALIANÇA PR/SP"
-0.05282220940120977,-0.07273664870488547,-0.012899900955207155,CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E SOLIDÁRIA - CRESOL CONFEDERAÇÃO
-0.08548785438148845,0.0012011497350829419,-0.017312130327776936,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO CANOINHAS - SICOOB CREDICANOINHAS/SC
