PC1,PC2,banco
-0.15172893376340005,-0.47342260718576157,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UNIESTADOS"
-0.043459883506254966,-0.27557233601668896,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DOS ESTADOS DE MATO GROSSO DO SUL, TOCANTINS E OESTE DA BAHIA - SICREDI UNIÃO MS/TO"
-0.07345239033888855,-0.08738389410646757,COOPERATIVA DE CRÉDITO E INVESTIMENTO DO SUDOESTE  DA AMAZÔNIA LTDA - SICOOB CREDISUL
0.15088760226707215,-1.3634005989316056,CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO
0.21750690609255827,0.3186249710353585,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ"
0.1513712582267588,-0.18774716257801885,INDUSTRIAL DO BRASIL - PRUDENCIAL
-0.0010682545286203778,0.2199800218287371,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PLANALTO - SICREDI PLANALTO RS/MG"
0.03290155757331441,-0.7298867253422455,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SORRISO - SICREDI CELEIRO MT/RR"
0.19369288755310965,0.012381939782397761,OMNI - PRUDENCIAL
-0.07202294624135525,0.03160687932582632,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC/PR/RS
0.18603503656443038,0.33236089545160385,BCO CATERPILLAR S.A. - PRUDENCIAL
-0.01703116235234131,0.1079803185436173,COOPERATIVA DE CRÉDITO SUL-SERRANA DO ESPÍRITO SANTO
0.17840502857745943,0.37833778357296216,REALIZE CFI - PRUDENCIAL
0.1679599896074064,0.37048851519731996,MIDWAY S.A. - SCFI - PRUDENCIAL
0.07577392512950022,0.22058886097582003,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DOS VALES - SICREDI REGIÃO DOS VALES RS"
0.07303157534852574,-0.24009386275833822,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU"
0.12460406566674072,-1.8133510396512176,CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB - SICOOB CENTRAL UNICOOB
0.261198632693594,0.07759694240559564,COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL SICOPER
0.1833491398259186,-0.5084383201598285,"COOPERATIVA CENTRAL DE CRÉDITO DE GOIÁS, DISTRITO FEDERAL E TOCANTINS LTDA. - SICOOB NOVA CENTRAL"
-0.011436257319134498,0.22463869286785665,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO
-0.027802803633383433,-0.16019264381405512,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NORTE MATO-GROSSENSE E OESTE PARAENSE - SICREDI GRANDES RIOS MT/PA/AM"
0.25259188859445547,0.12785628031921215,PEFISA S.A. - PRUDENCIAL
-0.09060373404928074,-0.8491790852875206,COOPERATIVA DE CRÉDITO ALIANÇA RS/SC/ES - SICREDI ALIANÇA RS/SC/ES
-0.220734853181661,0.00233588021356173,COOPERATIVA DE CRÉDITO SICOOB METROPOLITANO
0.04261684549741522,-0.223836571183406,COOPERATIVA DE CRÉDITO ARACOOP LTDA. - SICOOB ARACOOP
0.059124035160187084,-0.41700187645731196,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CELEIRO CENTRO OESTE - SICREDI CELEIRO CENTRO OESTE"
0.2079395647682809,0.4189720460260692,INTESA SANPAOLO BRASIL S.A. - PRUDENCIAL
-0.0386502518459054,0.3949575009498104,CREDICOAMO CREDITO RURAL COOPERATIVA
-0.07061769817379013,-0.17363071612425218,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CONEXÃO - SICREDI CONEXÃO"
0.004209380051732793,-0.5386614815929257,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO INTERESTADOS - SICREDI INTERESTADOS RS/ES"
-0.018055853749853752,-1.3554895358880932,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DA PRODUÇÃO - SICREDI REGIÃO DA PRODUÇÃO RS/SC/MG"
0.005723879974982223,-0.5841482514909281,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO ALTOS DA SERRA - SICREDI ALTOS DA SERRA RS/SC"
0.27228187782511154,0.30351861345388775,COOPERATIVA CENTRAL DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL CENTRAL BRASIL
0.1357993353001862,-1.4187587751130009,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE"
0.021348812470633794,-0.4024739629455184,COOPERATIVA DE CRÉDITO DO VALE DO ITAJAÍ E LITORAL CATARINENSE - SICREDI VALE LITORAL SC
0.017765063762220142,-0.9653454086810528,"COOPERATIVA DE CREDITO, POUPANÇA E INVESTIMENTO ALIANÇA - SICREDI ALIANÇA PR/SP"
0.2573860268501285,-0.03143464760102276,CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E SOLIDÁRIA - CRESOL CONFEDERAÇÃO
0.016769836261505792,-0.13485683108006974,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO CANOINHAS - SICOOB CREDICANOINHAS/SC
-0.003757079666251734,-0.14269958944191377,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DAS REGIÕES CENTRO DO RS E MG - SICREDI REGIÃO CENTRO RS/MG"
0.014453218141367352,0.19506735660433158,COOPERATIVA DE CRÉDITO SUL DO ESPÍRITO SANTO - SICOOB SUL
-0.009754980153531396,0.14611939824812387,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL RONDONIENSE - SICOOB CREDIP.
0.2631073211573175,0.35630861020214954,YAMAHA MOTOR - PRUDENCIAL
0.2709973112154814,0.3056558571175749,COOPERATIVA CENTRAL DE CRÉDITO DO NORTE DO BRASIL - SICOOB NORTE
0.22449878000279128,-1.5505425410645828,DM FINANCEIRA CFI - PRUDENCIAL
0.1747192732873307,-0.23927924186348812,RENDIMENTO - PRUDENCIAL
0.04551949030036698,-0.30099217644476295,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO BRANCO - SICREDI OURO BRANCO RS/MG"
0.15412859961236278,-0.06748632804823475,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO CERRADO - SICREDI VALE DO CERRADO"
0.12168338063016364,0.5053476369870894,AF DESENVOLVE SP S.A. - PRUDENCIAL
-0.002634688442670121,-0.5190064831451217,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO FRONTEIRAS DO PARANÁ, SANTA CATARINA E SÃO PAULO - SICREDI FRONTEIRAS PR/SC/SP"
0.08965959307427585,-2.294026469428017,GENIAL - PRUDENCIAL
0.24469686599277224,0.2029987002321419,NOVO BCO CONTINENTAL S.A. - BM - PRUDENCIAL
