PC1,PC2,PC3,banco
0.20539850564901185,0.4673128233846706,0.2972289295152547,COOPERATIVA CENTRAL DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL CENTRAL BRASIL
0.06502480823210686,-1.132792507400904,0.3311523998254321,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE"
-0.02477798079663615,-0.6914005793852829,-0.24749674697045268,COOPERATIVA DE CRÉDITO DO VALE DO ITAJAÍ E LITORAL CATARINENSE - SICREDI VALE LITORAL SC
-0.003814782033988229,-1.1779904864700241,-0.19213217656176984,"COOPERATIVA DE CREDITO, POUPANÇA E INVESTIMENTO ALIANÇA - SICREDI ALIANÇA PR/SP"
0.20468177746300523,0.15953329948211367,0.32764237122923767,CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E SOLIDÁRIA - CRESOL CONFEDERAÇÃO
-0.022823355698352334,-0.5084957714350619,-0.31929704872019427,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO CANOINHAS - SICOOB CREDICANOINHAS/SC
-0.0035287304519413987,-0.6022288562726179,-0.4270622275126567,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DAS REGIÕES CENTRO DO RS E MG - SICREDI REGIÃO CENTRO RS/MG"
-0.06865664098931039,-0.19026590787550912,-0.34243441570506744,COOPERATIVA DE CRÉDITO SUL DO ESPÍRITO SANTO - SICOOB SUL
-0.06543895536106606,-0.32811102424389643,-0.4248890086642734,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL RONDONIENSE - SICOOB CREDIP.
0.12336080154995895,0.49878514907214144,0.2613031059880666,YAMAHA MOTOR - PRUDENCIAL
0.20023612045871103,0.47205657260200945,0.3085170292761807,COOPERATIVA CENTRAL DE CRÉDITO DO NORTE DO BRASIL - SICOOB NORTE
0.2934148669084481,-1.3182918784132494,0.2128969039674389,DM FINANCEIRA CFI - PRUDENCIAL
-0.018949238785751697,-0.14440858215462507,0.07587775641421385,RENDIMENTO - PRUDENCIAL
0.002388730662727933,-0.557420083145732,-0.2099059491793035,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO BRANCO - SICREDI OURO BRANCO RS/MG"
0.12864851671810892,-0.17946819574488657,-0.025009602949064128,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO CERRADO - SICREDI VALE DO CERRADO"
-0.23686524381722435,0.6402074389498501,0.13358030326032452,AF DESENVOLVE SP S.A. - PRUDENCIAL
0.010548436262676587,-0.9126591772253058,-0.36975222713460665,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO FRONTEIRAS DO PARANÁ, SANTA CATARINA E SÃO PAULO - SICREDI FRONTEIRAS PR/SC/SP"
0.03829078854089931,-2.062864361079059,0.128170570639753,GENIAL - PRUDENCIAL
0.09270130166097501,0.35117173973339755,0.27321794704616187,NOVO BCO CONTINENTAL S.A. - BM - PRUDENCIAL
0.04546072841657846,-0.194198443261886,-0.05147591751259856,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO ESSÊNCIA RS/ES - SICREDI ESSÊNCIA"
0.03996494016818807,-0.5501178196194987,-0.1255853150262946,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SUL RIOGRANDENSE - SICREDI ORIGENS RS"
0.007274293112600357,-0.45571252052629113,-0.30887700878576374,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE IBIRAIARAS - SICREDI IBIRAIARAS RS/MG"
-0.019666858301319458,-0.8975828477970598,-0.2069609482731435,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE LAJEADO - SICREDI INTEGRAÇÃO RS/MG"
0.04567561697385908,-0.5389339149345542,-0.32477022557720514,COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO AGROEMPRESARIAL - SICREDI AGROEMPRESARIAL PR/SP
0.062006352571555935,-0.3258795208825366,0.29301791679557965,BCO LUSO BRASILEIRO S.A. - PRUDENCIAL
-0.0037180747805179134,-0.4222358558521707,-0.2375953581212808,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE E NORDESTE DE SANTA CATARINA - SICREDI NORTE SC"
0.0761680092590294,0.04611237420157207,-0.013023031420457727,COOPERATIVA DE CRÉDITO UNICRED VALOR CAPITAL LTDA - UNICRED VALOR CAPITAL
-0.18901271241483406,0.6289454109403881,0.19946283323048727,AF PARANÁ - PRUDENCIAL
0.012218504471154296,-0.20464051293675425,-0.08700135625636049,COOPERATIVA DE CRÉDITO COOPERMAIS - SICOOB COOPERMAIS
0.009023163888697432,-0.9586889819672362,-0.5525845884540656,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO NORTE BRASILEIRO
-0.007103106817690455,0.5027794969947004,0.256249916512433,BMW - PRUDENCIAL
0.046054192826148095,-1.173903608541264,-0.19680852989792533,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO REGIÕES DAS CULTURAS - SICREDI DAS CULTURAS RS/MG"
0.035275625785003206,-0.6243098750996481,-0.20657921451199068,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO IGUAÇU - SICREDI IGUAÇU PR/SC E REGIÃO METROPOLITANA DE CAMPINAS/SP"
0.03595909693064951,-0.4423327358105261,-0.23621981537199352,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI EVOLUÇÃO - SICREDI EVOLUÇÃO"
0.005315023014424094,-1.2104399472605851,-0.39164034633531003,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIVALES - SICREDI UNIVALES MT/RO"
0.09913301588075753,0.017559825168002932,0.10971781925583986,COOPERATIVA DE CRÉDITO SICOOB ENGECRED LTDA.
0.046358556022300476,0.48917135884113416,0.24045713654582185,COOPERFORTE COOPERATIVA DE CRÉDITO E INVESTIMENTOS LTDA
0.02452602715331603,0.4062981247250137,0.25241196047247894,BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL
0.06601865211599983,-0.8207392820254398,-0.23346569769525005,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO PLANALTO CENTRAL - SICREDI PLANALTO CENTRAL"
0.06471347644049905,-1.1482342079747188,-0.3996750371647414,"COOPERATIVA DE CREDITO, POUPANÇA E INVESTIMENTO PARQUE DAS ARAUCARIAS - SICREDI PARQUE DAS ARAUCARIAS PR/SC/SP"
0.07128397591376436,-0.4088761159311334,-0.22539949909274337,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO INTEGRAÇÃO DE ESTADOS DO RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI INTEGRAÇÃO DE ESTADOS RS/SC/MG"
0.06092698028878104,0.7251862209278992,0.0012924112645500262,BCO CARGILL S.A. - PRUDENCIAL
0.10551960367132356,-0.3861531879029707,-0.09504745292486431,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL DO ESTADO DE SANTA CATARINA - SICREDI SUL SC"
0.08960974993636682,-0.37906147337047746,-0.07588011602762823,COOPERATIVA DE CRÉDITO UNICRED UNIÃO LTDA - UNICRED UNIÃO
0.1584211421511891,0.6012698409350916,0.04669839547520348,BCO ABN AMRO CLEARING - PRUDENCIAL
0.13245550691773386,-0.3117705312173159,-0.039371924484938925,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CAMPO GRANDE E REGIÃO - SICREDI CAMPO GRANDE MS"
