Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA (e);Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS E GRANDE CURITIBA - SICREDI CAMPOS GERAIS E GRANDE CURITIBA PR/SP;81466286;b3S;S4;I;2;PONTA GROSSA;PR;03/2025;10.199.824;5.815.565;3.510.586;9.141.531;6.318.738;1.058.293;51.475;1.138.880;17,02%;10,62%;0;50
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;S4;I;2;NOVA PETROPOLIS;RS;03/2025;10.104.731;5.253.807;3.635.158;9.059.957;6.741.311;1.044.774;50.846;1.038.357;18,74%;8,92%;0;55
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;03/2025;10.075.264;2.346.964;4.585.000;7.971.928;6.736.162;2.103.336;-26.074;2.213.746;27,65%;0,15%;2;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;S4;I;2;CHAPECO;SC;03/2025;9.552.000;5.800.006;140.088;8.368.915;7.174.098;1.183.084;72.786;1.199.010;17,02%;7,14%;0;101
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;S5;I;2;GOIANIA;GO;03/2025;9.534.174;6.697.330;79.585;8.484.297;7.897.960;1.049.877;58.197;1.112.719;16,48%;7,19%;0;110
BANCO DIGIMAIS - PRUDENCIAL;1000081799;b1;S4;C;3;SAO PAULO;SP;03/2025;9.290.081;1.801.761;1.379.048;8.674.171;7.456.622;615.911;-15.350;898.250;16,30%;44,89%;3;0
BANCO PACCAR - PRUDENCIAL;1000084899;b2;S4;I;3;PONTA GROSSA;PR;03/2025;9.160.060;8.041.435;510.417;6.821.582;6.475.103;2.338.478;22.921;1.872.245;21,34%;0,02%;2;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S4;I;3;SAO PAULO;SP;03/2025;8.970.596;261.002;797.112;7.261.567;4.862.709;1.709.030;32.876;1.626.450;45,02%;0,44%;2;0
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;03/2025;8.928.571;4.276.586;1.975.725;2.180.410;749.783;6.748.160;272.859;6.611.635;60,48%;0,49%;4;1.062
SISPRIME DO BRASIL - COOPERATIVA DE CRÉDITO;2398976;b3S;S4;I;2;LONDRINA;PR;03/2025;8.837.986;4.435.804;3.541.469;7.330.367;7.147.390;1.507.618;40.313;1.497.367;23,62%;3,84%;0;50
FACTA S.A. CFI - PRUDENCIAL;1000083704;n1;S4;C;2;PORTO ALEGRE;RS;03/2025;8.835.698;5.443.483;2.366.570;8.152.437;7.112.101;683.261;56.816;914.207;22,27%;0,64%;4;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO - SICREDI UNIAO RS/ES;88894548;b3S;S4;I;2;CERRO LARGO;RS;03/2025;8.744.761;5.331.726;2.256.466;7.674.532;4.418.262;1.070.229;28.652;1.043.186;16,42%;11,19%;0;74
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;S4;I;2;TANGARA DA SERRA;MT;03/2025;8.635.504;4.783.194;2.400.333;7.589.962;5.131.842;1.045.542;24.370;1.127.324;18,13%;12,99%;0;96
SEM PARAR IP - PRUDENCIAL;1000086158;n1;S5;C;3;SAO PAULO;SP;03/2025;8.526.311;186.665;1.125.002;5.526.297;2.507.094;3.000.014;317.415;NI;NI%;NA%;3;0
BS2 - PRUDENCIAL;1000080422;b1;S3;C;2;BELO HORIZONTE;MG;03/2025;8.455.662;2.418.994;1.819.916;7.526.667;6.097.299;928.995;-9.872;745.765;13,22%;34,91%;4;0
